CHARACTER,CHARACTER,CHINESE,ENGLISH,RUSSIAN,SPANISH,JAPANESE,KOREAN,FRENCH,GERMAN,PORTUGUESE,THAI,INDONESIAN,VIETNAMESE
,,被吞食,Swallowed,,,,,,Verschluckt,,,,
,,噬天巨浪,Sky Devouring Tides,,,,,,Himmelverschlingende Gezeiten,,,,
,,骸骨利刃,Skeletal Blade,,,,,,Skelettklinge,,,,
,,湍流利刃,Turbulent Blade,,,,,,Turbulente Klinge,,,,
,,奔腾涌流,Surging Current,,,,,,Stürmische Strömung,,,,
,,尸群聚爆,Corpse Detonation,,,,,,Leichendetonation,,,,
,,深渊聚爆,Abyssal Burst,,,,,,Abgrundsausbruch,,,,
,,骨血重组,Flesh Reconstruction,,,,,,Wiederherstellung des Gewebes,,,,
,,蹈海者的审判,Seafarer's Judgment,,,,,,Urteil des Seefahrers,,,,
,,蹈海者的咒怨,Seafarers' Curse,,,,,,Fluch des Seefahrers,,,,
,,碎裂的符印,Shattered Sigil,,,,,,Zerschlagenes Siegel,,,,
,,受损的符印,Damaged Sigil,,,,,,Beschädigtes Siegel,,,,
,,完美的符印,Perfect Sigil,,,,,,Perfektes Siegel,,,,
,,被吞食,Being Devoured,,,,,,Verschlungen werden,,,,
,,灵魂封存,Soul Sealing,,,,,,Seelenversiegelung,,,,
,,噬骨之刃,Bone-Chilling Blade,,,,,,Knochenerschütternde Klinge,,,,
,,誓言,Oath,,,,,,Eid,,,,
